feature,q1,q3,iqr,lower,upper,skew,outliers_count,outliers_pct,treat_flag
Subscription_HNI,1.255,62.095,60.839999999999996,-90.005,153.355,3.0784448213212667,48,15.047021943573668,True
Subscription_QIB,1.15,34.635000000000005,33.48500000000001,-49.07750000000001,84.86250000000001,2.143704625584823,35,10.9717868338558,True
Issue_Size,169.005,1100.0,930.995,-1227.4875000000002,2496.4925000000003,4.853401606434454,34,10.658307210031348,True
Subscription_RII,1.275,8.605,7.33,-9.72,19.6,3.7082740836630137,33,10.344827586206897,True
Issue_Price,119.0,536.0,417.0,-506.5,1161.5,1.6968814842159945,12,3.761755485893417,True
