Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Issue_Price,Listing_Gains_Profit
178.5,14.51,3.35,0.44,730,1
560.7,10.54,3.57,1.58,428,0
1243.0,48.64,159.03,6.48,806,0
488.53,39.78,109.13,9.85,333,0
1870.0,144.61,277.74,7.3,299,1
238.95,3.65,0.21,1.63,500,0
232.96,51.62,90.68,15.35,460,1
325.0,44.27,204.65,6.07,670,1
1224.0,55.45,330.36,10.79,58,1
211.68,8.38,10.39,6.47,210,0
2250.0,1.14,1.6,0.0,100,0
326.69,2.16,0.48,3.1,257,1
1741.1,4.68,0.45,3.51,603,0
523.99,148.71,563.03,23.83,149,1
484.8,1.48,2.48,0.99,170,1
1912.51,78.77,143.51,3.52,358,0
35.87,0.0,487.18,58.59,108,0
362.25,5.64,1.65,18.67,815,0
1454.0,63.51,288.87,8.12,432,1
152.25,1.91,7.82,8.53,175,1
599.28,134.66,345.62,9.46,1766,0
600.65,1.33,1.63,5.16,205,1
501.07,1.88,0.41,18.16,985,0
400.0,131.32,638.05,17.57,250,1
5700.94,8.93,0.83,1.23,661,1
8400.0,12.56,0.7,0.81,700,1
481.94,76.89,101.15,7.62,938,1
1157.31,150.96,236.04,7.67,460,1
1000.7,2.56,0.85,2.61,1650,0
11372.0,2.25,0.22,0.63,912,0
1542.0,118.41,209.44,5.23,252,1
829.36,15.61,2.07,6.11,429,1
493.06,2.45,0.18,2.34,750,0
8695.01,16.6,2.29,0.9,290,1
504.8,4.34,0.42,2.98,248,0
649.69,12.36,11.15,3.28,664,1
70.0,103.35,396.99,77.93,50,1
156.0,101.93,958.07,40.19,275,1
424.62,15.62,5.52,5.18,245,1
600.0,174.99,519.26,11.65,859,1
937.09,54.67,6.96,6.0,1480,1
980.14,2.1,0.55,1.18,190,0
457.7,8.37,4.97,3.08,270,1
960.94,1.5,0.5,1.41,428,0
4473.0,38.67,13.89,1.2,375,1
4229.0,1.73,0.03,0.39,1215,0
438.38,1.96,0.12,0.72,0,0
4016.0,0.54,0.05,0.39,520,0
1844.0,16.08,6.91,1.48,572,1
453.6,71.72,194.56,15.74,185,0
597.87,12.86,21.01,1.62,783,1
1121.98,13.47,5.08,0.67,716,0
1126.44,5.52,0.98,0.88,422,0
1729.2,2.77,0.26,0.25,821,0
23.0,1.24,7.69,2.64,66,0
1628.84,4.66,1.1,0.03,280,1
213.81,1.13,2.15,2.95,128,0
4750.0,2.15,3.09,0.31,300,1
430.88,1.36,0.8,2.92,19,1
1200.18,8.88,3.03,2.21,880,1
131.48,30.49,113.88,16.06,0,0
474.12,30.83,62.13,14.07,973,1
3125.0,1.02,0.89,0.3,780,0
635.04,108.79,354.52,14.94,320,0
409.68,38.85,45.49,9.01,195,1
750.0,110.72,473.0,49.09,37,1
500.0,3.54,1.21,1.89,178,0
10286.2,57.18,45.23,2.5,755,0
496.25,2.75,4.34,2.51,425,1
702.02,77.43,351.46,70.94,166,1
600.0,89.76,192.81,12.67,350,1
318.0,113.54,449.14,41.21,340,1
2244.33,73.18,111.85,5.55,1230,1
600.0,5.74,0.69,4.31,306,0
2159.88,3.34,0.93,2.32,554,0
443.69,89.71,678.88,35.63,145,1
517.6,3.91,0.22,2.08,33,0
6479.55,6.4,0.51,0.24,1500,1
796.5,86.64,354.11,68.15,60,1
540.54,176.85,620.86,29.33,288,1
300.53,0.64,0.28,7.22,315,1
4633.0,0.89,0.52,1.59,26,0
1170.56,96.21,115.76,6.5,1490,1
1153.72,52.53,39.0,6.59,518,1
412.63,8.02,32.72,26.04,385,1
100.0,0.24,17.1,74.29,400,1
819.24,22.03,51.4,7.08,94,1
60.0,25.98,108.72,4.82,627,1
596.41,52.01,522.35,12.78,575,1
510.0,0.0,2.79,14.48,187,0
760.0,30.8,62.06,4.62,555,0
600.0,1.13,0.73,4.41,130,1
823.7,0.56,0.05,1.04,1490,0
582.34,2.18,1.31,3.09,305,0
1175.0,1.18,0.97,1.47,87,0
582.91,52.82,148.42,34.49,1101,0
453.6,0.0,0.0,0.0,500,1
2500.0,3.05,1.44,0.4,486,0
7734.99,0.0,0.0,0.0,100,1
5550.0,1.57,0.22,0.66,291,1
909.0,62.18,172.51,5.29,306,1
521.0,84.88,73.26,11.34,428,1
2146.0,5.26,1.89,2.9,825,1
800.0,2.64,1.36,4.4,296,1
963.28,93.18,73.01,4.89,837,1
1546.0,156.37,206.43,9.0,900,1
9375.0,51.79,32.96,7.45,76,1
500.0,2.55,9.78,13.36,1083,1
1513.0,0.98,0.87,4.61,720,1
732.27,143.58,360.11,24.49,900,1
405.95,24.4,15.73,24.27,460,0
161.09,17.67,5.36,40.1,120,1
1222.0,49.83,116.3,42.04,954,1
1858.0,95.27,213.06,39.52,90,1
2998.0,0.55,0.09,0.81,1618,0
5089.29,0.1,0.02,0.24,570,0
3929.91,2.7,1.03,2.29,541,0
2790.0,32.41,33.91,1.35,353,1
1895.04,13.07,1.32,1.09,531,1
571.96,86.64,154.81,13.36,610,1
1282.0,26.47,11.37,3.15,744,1
181.13,90.48,435.14,61.42,175,1
2768.0,4.1,2.6,1.68,712,0
5375.0,91.18,112.02,12.24,1125,1
1209.0,1.65,0.21,5.92,577,0
6273.5,9.83,2.58,1.67,980,1
0.0,42.15,78.82,41.26,163,1
816.57,1.42,2.32,1.38,542,0
18915.9,2.79,0.24,1.66,2150,0
2073.0,3.11,2.34,5.25,1180,1
622.11,145.48,850.66,119.44,197,1
1030.22,1.06,3.4,2.49,662,1
7318.15,1.03,0.19,1.1,900,1
619.23,215.45,666.19,29.44,453,1
660.0,2.5,25.42,7.76,550,1
1354.0,8.42,42.04,8.08,425,0
600.0,1.85,4.82,12.72,118,0
1039.61,196.36,424.69,15.2,1033,1
1376.63,8.49,3.02,1.13,500,0
601.2,190.86,254.22,23.14,585,1
125.96,1.82,19.04,81.24,274,1
700.0,31.83,161.22,56.01,274,1
1100.0,1.98,1.45,2.15,216,1
716.87,2.68,25.61,3.08,175,0
3600.0,5.73,56.3,3.92,230,1
3149.0,7.49,1.07,0.39,866,1
60.0,0.0,0.0,0.0,68,1
200.0,1.61,2.09,5.68,137,1
130.05,0.7,2.68,6.92,153,1
1400.14,84.22,10.68,4.73,292,1
1595.59,16.4,1.37,0.71,542,0
21000.0,1.7,1.39,1.14,949,0
538.61,1.23,0.74,0.61,630,0
165.42,6.01,6.59,10.9,326,1
5235.0,0.47,0.27,0.31,487,1
472.29,0.98,0.76,0.32,878,0
412.79,0.0,0.01,0.44,256,1
808.04,8.0,1.33,0.59,642,1
840.13,42.42,7.13,2.84,220,1
562.1,27.48,14.18,24.19,326,1
792.0,0.51,1.77,3.44,525,0
755.0,113.82,40.36,12.44,330,1
500.0,58.81,15.39,8.27,59,1
